"transcript_id","is_correlated","is_discordant","gene_id","ccle_transcript_pearson","ccle_gene_pearson","ccle_transcript_spearman","ccle_gene_spearman","tsoi_transcript_pearson","tsoi_transcript_spearman","PRJNA704810_OE_MITF/CON","GSE163646_OE_MITF/CON","PRJEB30337_siCON/siMITF","GSE163646_siCON/siMITF","GSE283655_siCON/siMITF","GSE115845_siCON/siMITF","has_peak_GSE153020_Kenny","has_peak_GSE61965_Laurette","has_peak_GSE77437_Louph","ccle_mean_transcript_expression","tsoi_mean_transcript_expression","ccle_mean_gene_expression","tsoi_mean_gene_expression","ccle_mean_transcript_expression_mitf_high","ccle_mean_gene_expression_mitf_high","tsoi_mean_transcript_expression_mitf_high","tsoi_mean_gene_expression_mitf_high","EBOX_n"
"ENST00000228705",FALSE,TRUE,"PPM1H",0.774285134242438,0.740113521063565,0.803890287810977,0.779023152810741,0.649924206668665,0.661716081932178,3.42341118162777,0.842029485412047,2.60360220860935,0.671489471929283,1.27234669906845,0.372725551066484,TRUE,TRUE,TRUE,2.19150830704402,1.5446589552254,2.29948351735523,1.73568550666819,3.00050053988499,3.05103761836609,2.10592877734447,2.23109740478633,2
"ENST00000237305",FALSE,TRUE,"SGK1",0.718709607590571,0.679509248013851,0.735949873544724,0.646800075036161,0.619269179303896,0.52320582761022,2.48712231504552,1.0532513675513,1.34940282192457,0.82242544913997,0.803856657368173,0.98758679195143,FALSE,FALSE,FALSE,6.54743350904948,4.81471536472103,7.28454816993095,6.12765265950739,7.28135423217611,7.99730191919517,5.49691309712253,6.67788468042062,2
"ENST00000261758",FALSE,TRUE,"MESD",0.512331614701118,0.463916383280873,0.530305277057846,0.473050077884163,0.545628503626772,0.61883035835757,1.26610558858375,0.921947657050191,1.92487418529824,1.02874823638442,0.871169698251108,0.91402340872507,FALSE,FALSE,FALSE,4.86813509449227,3.95645751759333,5.15424852021637,4.62550717613252,5.13766594726609,5.39499089110411,4.24615242378516,4.8913787202869,1
"ENST00000263805",FALSE,TRUE,"ZNF106",0.750925543159135,0.658160077490548,0.676052373937281,0.648798998693739,0.834242243422964,0.806892901157684,8.5779650260355,0.840959649085688,1.54062945104177,0.140110670055595,0.172150280922791,0.55366075787398,FALSE,FALSE,FALSE,3.11684417064869,2.18485605437954,4.9653743453519,4.35513765583229,4.47007405877298,5.6280728437737,3.76715522806306,5.09102416502084,3
"ENST00000265801",FALSE,TRUE,"LZTS1",0.755517317457577,0.727854415587151,0.687788993113524,0.635547892139521,0.679542132636922,0.687801943544502,6.88809203672059,0.000167341705012423,2.10778680360344,0.42924890693194,0.329486624534672,0.220800941148727,FALSE,FALSE,FALSE,4.21073598615848,2.69123197521098,4.59138376365457,3.81323176996168,5.24754368525735,5.58257801632091,3.74637507074972,4.52204846066696,2
"ENST00000299492",FALSE,TRUE,"PPFIBP2",0.592386621260711,0.517456722547129,0.64921057698478,0.530957317064217,0.697319504562209,0.684404431420858,4.47829452306909,0.409411458651909,0.0956762986608249,0.676462163260941,0.965766198107133,0.994132078000674,FALSE,FALSE,FALSE,2.08784298615062,1.12846470614272,3.30826115529904,2.59258814540798,2.72947041344746,3.88952460752864,1.66011005970678,3.25455087093492,2
"ENST00000326470",FALSE,TRUE,"SSH1",0.510561370900291,0.274351315349661,0.424555141519563,0.248333315162974,0.459315496314679,0.520372871149758,2.0425194756351,2.70466283746297,1.25762340092647,1.14649271648829,1.42718265280044,0.871613429931853,FALSE,FALSE,FALSE,1.78417039029442,1.50520791516213,4.86974679234195,4.38136022141622,2.19108242082196,5.08254344538293,1.98527656881773,4.6022275032483,2
"ENST00000334805",FALSE,TRUE,"STARD10",0.555551531371625,0.177282963289755,0.610398097663674,0.267427429331649,0.66088702635158,0.683407042946773,4.64471777054548,0.121371081189047,0.765330769839193,0.246218313692428,0.350352843769135,0.218263885121627,FALSE,FALSE,FALSE,1.44398391840259,1.50669808453479,3.82849855134699,3.65827237266833,1.8046288129348,4.04533775866606,2.11328125853086,4.07656379082125,2
"ENST00000339556",FALSE,TRUE,"S100A13",0.595165476280372,-0.00982644351046837,0.418078217780348,-0.0857065975929001,0.517055556759655,0.534572548776388,2.30952712897299,2.95294426317954,2.94065331661316,2.13686233599671,2.23584249504715,5.6595362996385,FALSE,FALSE,FALSE,2.80656582982485,1.37410364064084,8.66330136474187,7.08310042368957,3.33379937965189,8.5720772848979,1.96856132457677,6.99028425916844,0
"ENST00000342108",FALSE,TRUE,"CLDN14",0.390163617916165,0.238640494540078,0.525926594895258,0.352195799374361,0.571725246649341,0.60061101019297,NA,NA,2.40577667430464,2.84474117128525,3.0810791052261,35.2635690537269,TRUE,FALSE,FALSE,0.397732909319724,0.754426456091372,0.628883019120559,0.853406050896513,0.608153041824964,0.827425960623265,1.35688300121039,1.47628535169869,2
"ENST00000356591",FALSE,TRUE,"APOLD1",0.623839096638906,0.577113577916173,0.601219127390201,0.540649926796943,0.577123274371875,0.551708728416952,1.54254358830445,0.119457144371904,2.08153858095642,0.270716431637675,0.209986800405242,0.503231873603463,TRUE,TRUE,TRUE,3.34892381386424,1.51713694321881,3.56661076951656,2.96831245356781,4.64564220319884,4.70342740946514,2.58080702390748,3.27424406634716,3
"ENST00000357977",FALSE,TRUE,"NFIA",0.536935493801531,0.419919474228997,0.609281548065756,0.456607814664235,0.712041657475901,0.67638937908911,1.83705503632692,2.69041272819812,0.432544343035672,0.645173017234359,0.440245932038079,0.273970152094201,TRUE,TRUE,TRUE,0.845838433120961,1.29903375244042,1.69628846284953,1.92387634867837,1.18692739074206,2.08384622655789,1.85895824138979,2.54513276400502,2
"ENST00000359388",FALSE,TRUE,"DYNC1I1",0.702378986555191,0.618499563137229,0.698042230798486,0.605360344837268,0.547395412821923,0.504474390590413,0.826502097668289,0.440659646359566,1.65652647618342,0.507053071169854,0.58702667499171,2.47898693650724,FALSE,FALSE,FALSE,2.11794531902585,1.1323461688678,2.63444928384432,2.27895593555808,2.85578323774171,3.19733602741455,1.7276003215849,2.56786605692885,0
"ENST00000360019",FALSE,TRUE,"CLN3",0.523921464032409,0.10399046833877,0.626658502222069,0.20516481564569,0.557885192812619,0.572126576318603,NA,NA,1.4526174568262,0.408346934645253,0.635302554930244,0.423070227156022,FALSE,FALSE,FALSE,0.604511422708856,0.696948697404339,4.65997024138336,4.67036025934031,0.893569564996413,4.73171376263914,0.950086448549147,4.7928475931487,1
"ENST00000369102",FALSE,TRUE,"C1orf54",0.616693931601674,0.196411696863351,0.682240424427496,0.271436730496234,0.543016101423149,0.471459417346643,4.59160637569376,0.113552612565019,0.377856462995195,0.376317258928674,0.520411711248963,0.12110118123466,FALSE,FALSE,FALSE,1.27805916089815,0.736574441956846,1.88690339614143,1.28865794270135,1.6513490653337,2.07386424265534,0.968326015847773,1.46351209243875,2
"ENST00000370316",FALSE,TRUE,"NKAIN4",0.464088567718598,0.268809816045061,0.529537832600291,0.227291787749311,0.504325130828092,0.60929488679994,NA,NA,0.37416854105107,0.183587771337044,0.105414652521899,1.44643848394499,FALSE,FALSE,FALSE,0.843988015690563,0.526877571221761,0.950124910718871,2.01123608092841,1.31475881589342,1.36247829583363,0.921425792555548,3.55959239720845,0
"ENST00000380858",FALSE,TRUE,"SLC2A13",0.465511123985694,0.288146718155737,0.553410047544816,0.233894395814163,0.594918365685486,0.618972129344593,2.84273024220281,0.621714743881822,1.35222326168551,0.559545609205052,0.392195123790563,0.528747410161329,FALSE,FALSE,FALSE,0.319625576572752,0.259169466116381,1.96542734957532,1.45038315069018,0.441681086439219,2.06930912136768,0.355487793775752,1.49648044613504,1
"ENST00000381174",FALSE,TRUE,"XG",0.182145585484815,-0.022194490279717,0.503393722007483,0.178794165315751,0.757020798342316,0.802355714470244,31.0174215621897,1.22126784407451,0.505366549506766,0.0805667570803051,0.0534799912431868,0.0675721497276794,FALSE,FALSE,FALSE,0.43483910712957,0.583550602887226,0.349896146399272,0.610302621208505,0.576647343485497,0.347070227239452,1.16033136797759,1.17679743981222,4
"ENST00000394339",FALSE,TRUE,"SPRY1",0.474154377055932,0.295735700665949,0.513666959991486,0.278146932022835,0.554515846605767,0.572253625308902,3.85694892964901,0.974317699874415,1.01633512994161,1.07818794236973,1.11697116780345,1.16251663243924,FALSE,FALSE,FALSE,1.36559519912165,0.62356094342632,3.2637147880355,3.03471182303697,1.95362161366163,3.67252745757261,0.975517917589266,3.60274744701652,2
"ENST00000394351",FALSE,TRUE,"MITF",1,0.961074520057009,1,0.936001494209282,1,1,2.6582130190145,4.72138120276367,0.581944845828145,0.287017273566506,0.201200458887135,0.254148462505368,FALSE,FALSE,FALSE,4.56860008810993,3.30172541800699,5.51242250358866,4.89346387021084,6.68924759790811,7.23369181487637,5.77001753558312,6.71847448688777,1
"ENST00000394991",FALSE,TRUE,"SNCA",0.782072112400547,0.707347755261862,0.781416549183291,0.711179450893453,0.587687448836971,0.58428584825232,1.50871629471555,2.10876737364684,1.6489672893457,0.725381988384188,0.348841289274961,0.884971320342673,FALSE,FALSE,FALSE,3.22817628816099,1.10726282417001,6.54776963354488,5.00684411082013,4.18629595519507,7.69798847921462,1.67060973638112,6.27114526609666,3
"ENST00000396307",FALSE,TRUE,"RAB27A",0.855850309819123,0.733389468552602,0.837819634172752,0.788943316664573,0.837601901521636,0.840801734012396,11.2150069358008,0.0696508476922562,0.308722226789715,0.0406617126235215,0.0318996301263685,0.181584921882347,TRUE,TRUE,TRUE,2.98130673294421,1.6336977293036,5.21692398726775,4.46698394393699,4.80192808257663,6.28389243981616,3.17050911220895,5.28049645825232,1
"ENST00000408919",FALSE,TRUE,"SH3BP5",0.583623842328044,0.485312822042326,0.607268401800433,0.393398060598615,0.618910820353661,0.717436711931724,2.79298949803004,0.178860340522979,0.806782469366551,0.222011896515115,0.383723544951512,0.955661717289109,TRUE,TRUE,TRUE,1.38744735373041,0.819240209866623,4.75627916043534,4.46391523601345,2.1315673776018,5.20500207866336,1.48794911359861,5.08390575591183,1
"ENST00000409458",FALSE,TRUE,"GPNMB",0.736905624253147,0.646053316327008,0.659793078810416,0.476887381977294,0.727304206121231,0.670434997634123,1.60370037439581,0.892787122074227,0.385432181254935,0.272199420863637,0.154303534528752,0.258976872049244,FALSE,FALSE,FALSE,5.39312439393847,4.26848201338876,8.37620848420257,7.00864287931508,6.36255671334248,9.51581649423214,5.52092827798328,8.53302419909482,3
"ENST00000410045",FALSE,TRUE,"HIBCH",0.617681053367998,0.506551468350329,0.744814318009424,0.573098002485747,0.75617377918766,0.775233386801871,2.63888112356704,0.108024224809526,0.755526313865678,0.095688036671503,0.0521369443336798,0.234102361419992,TRUE,TRUE,TRUE,1.58623597480889,1.55895842984115,4.0841389242122,3.78025004546856,2.64901315161792,4.5284849782003,2.6292273997806,4.08148373570471,4
"ENST00000410104",FALSE,TRUE,"EXOC6B",0.473505936623811,0.0570442055532257,0.535609638718435,0.231907258035682,0.598195903467377,0.584663550484907,2.30329822195304,0.41702996793652,0.477578515965363,0.490878985704277,0.621059351524505,0.191303894606236,FALSE,FALSE,FALSE,0.447752174811635,0.350237331534288,3.06805418164846,2.63298747690274,0.579015564219475,3.18646704201639,0.481534871832631,2.58645983634419,0
"ENST00000412952",FALSE,TRUE,"BCOR",0.57197319287556,0.289835301571008,0.599680222933653,0.348993399348138,0.519706087726954,0.550640368743626,2.58346466921177,0.762790536399408,0.773313099089837,0.827745998181864,0.90481081010485,0.741896745430227,FALSE,TRUE,TRUE,1.60654868544668,1.97056273233444,4.08598623088035,3.57433662601673,2.35587490213575,4.24401716969942,2.66401819397161,3.80994918554667,3
"ENST00000413554",FALSE,TRUE,"TNS1",0.497521723771922,0.269936224935512,0.785080974507343,0.377120796574791,0.495092901990145,0.726067900801366,0.435106230957544,0.00451389543226144,0,0,0.169583350370037,0.12584210111755,TRUE,TRUE,TRUE,0.529438884409425,0.465430358700986,1.90129345255376,1.39499953009383,1.00099834784865,2.48994967494746,0.901734233551394,1.95132128450116,1
"ENST00000414082",FALSE,TRUE,"TP53INP2",0.468814530788678,0.282622008768892,0.558290284822518,0.335847554348058,0.684517144829026,0.703396545953337,1.74743053364143,0.3504444863291,1.1258986161779,0.612569529540528,0.969901817866406,2.04679143007307,FALSE,TRUE,TRUE,0.810733300347066,1.37773318396166,3.97371826084242,3.75800165125972,1.16055095243585,4.35491071504723,2.13574824459798,4.50360737283845,1
